iter	Logloss
0	0.6713512228
1	0.6604785172
2	0.6475246734
3	0.6343162901
4	0.6256910553
5	0.6124679721
6	0.6055427446
7	0.5986988446
8	0.5902496596
9	0.5830678895
10	0.576339971
11	0.5708218242
12	0.5651963084
13	0.5589798711
14	0.5527868313
15	0.5487025279
16	0.5448749882
17	0.5411029609
18	0.5384322729
19	0.5342052332
20	0.5309722555
21	0.5269630536
22	0.5239526387
23	0.5207814386
24	0.5181557546
25	0.5166187251
26	0.5137726474
27	0.510191656
28	0.5082445232
29	0.5073332565
30	0.5055225008
31	0.5040837089
32	0.5021628996
33	0.4984950164
34	0.49678209
35	0.4953303728
36	0.4942140125
37	0.4928927842
38	0.4919177468
39	0.4883182078
40	0.4862810346
41	0.4841625289
42	0.4819622753
43	0.4797456916
44	0.4786240724
45	0.4778514509
46	0.4766872841
47	0.4737589352
48	0.469705575
49	0.4670827378
