iter	Passed	Remaining
0	146	7161
1	146	3522
2	147	2307
3	147	1700
4	148	1336
5	149	1092
6	149	919
7	150	788
8	150	686
9	151	605
10	151	538
11	152	482
12	153	435
13	153	395
14	154	359
15	154	329
16	155	302
17	156	277
18	157	256
19	157	236
20	158	218
21	159	202
22	159	187
23	160	174
24	161	161
25	162	150
26	164	140
27	166	130
28	167	121
29	167	111
30	168	103
31	169	95
32	169	87
33	170	80
34	171	73
35	172	66
36	173	60
37	174	54
38	174	49
39	175	43
40	176	38
41	176	33
42	177	28
43	178	24
44	178	19
45	179	15
46	179	11
47	180	7
48	181	3
49	182	0
