iter	Logloss
0	0.6642610582
1	0.6404726018
2	0.6202594423
3	0.5975463667
4	0.5833869381
5	0.5649724548
6	0.5485474853
7	0.5305937953
8	0.5221156681
9	0.5091345518
10	0.4986058476
11	0.4894875668
12	0.4783490373
13	0.4684005742
14	0.4594807406
15	0.4532449754
16	0.4474357414
17	0.4409881927
18	0.433418662
19	0.4262693367
20	0.4185801941
21	0.4153331704
22	0.4109869526
23	0.4074372317
24	0.4033074159
25	0.3984131203
26	0.3920754044
27	0.3887166704
28	0.3834437102
29	0.3788716753
30	0.3757069465
31	0.3714786542
32	0.367967651
33	0.363975801
34	0.3613434678
35	0.3584036165
36	0.356052697
37	0.3535490985
38	0.3507655012
39	0.3483267796
40	0.3459555428
41	0.3417926519
42	0.3400838751
43	0.3376585938
44	0.3354755738
45	0.3336171562
46	0.3313016608
47	0.3287122856
48	0.3268553208
49	0.3248229598
